model,test_index,true_label,pred_label,confidence,correct,retrieval_support,text,retrieved_neighbors
Fine-tuned DistilBERT,495,Credit reporting,Bank account or service,0.9683008193969727,False,0.0,"To whom it may concern : I attempted a Second Chance Bank Account at XXXX XXXX XXXX yesterday in Michigan and the teller was unable to proceed due to the Fraud Alert based on my address being a "" Restaurant/Bar ''. A mistake was made when the addresses were filled out, and not because of me. I used to have a "" XXXX XXXX '' mailbox at XXXX XXXX XXXX XXXX # XXXX, XXXX XXXX, MI XXXX. XXXX XXXX is similar to a XXXX XXXX allowing customers to get their mail at a box. XXXX stores down was the XXXX XXXX, a restaurant which has moved. I am unaware if a new restaurant moved in. There is also a XXXX 's store, a fitness gym, Social Security Administration. Please view the link which will show that the address XXXX XXXX XXXX XXXX is XXXX XXXX. XXXXPlease delete the wrong addresses. It is causing me financial harm and I never applied with these wrong addresses. Further more, I am a victim of Identity Theft. One of the police reports : XXXX XXXX, MI is XXXX.","1. label=Credit reporting, dist=0.863, text=One of my addresses is listed at XXXX XXXX XXXX, XXXX XXXX XXXX. Year it is listred for I was XXXX at XXXX XXXX XXXX in XXXX.
2. label=Credit reporting, dist=0.864, text=My name is XXXX XXXX Not XXXX XXXX
3. label=Credit reporting, dist=0.872, text=his is just an ongoing event with Transunion concerning the removal of address 's that I have stated many times via this portal, certified mail or even fax. I have submitted my utility bill, Drivers License, social security card, Police Report and no
4. label=Debt collection, dist=0.878, text=I 'm a victim of identity theft and someone open lots account in my name and I do n't no any thing about this account.
5. label=Credit card, dist=0.884, text=Chase Freedom credit card advertised 5 % cash back rewards for restaurant purchases made from XXXX/XXXX/2015 through XXXX/XXXX/2015. They did not honor the 5 % cash back rewards for several restaurants including XXXX XXXX in XXXX, XXXX, and XXXX in X"
Fine-tuned DistilBERT,745,Credit card,Bank account or service,0.9589428901672363,False,0.0,Capitol one has removed 100 $ on XXXX separate occassions in the last two months from my bank account without my permission. I reviewed my capitol one account online and nowhere is the amounts noted. I called them and they also said there is no evidence they removed it and to call my bank. I called XXXX XXXX and they got back to me and said most certainly it was removed by them??? The bank is refunding my 400 $ and opening an investigation to get there money back. I owed no balance at any XXXX of those times they just outright took my hard earned cash. And had I not been paying attention I would be out XXXX {$.00} .This is outright stealing and I would love to press charges if I knew how. This company is crooks and everyone knows it. Why are they still open?,"1. label=Mortgage, dist=0.883, text=Seterus Inc.took {$5000.00} out of my checking account without my permission. This occurred on XXXX XXXX 2015.
2. label=Credit card, dist=0.889, text=I had a secured Capitol one cred card for a few years. I paid a $XXXX payment on this particular account the end of XXXX. Soon after the payment was made  I simply called and asked the customer service rep , if I closed my secured card account , woul
3. label=Credit card, dist=0.890, text=I opened an account with capitol one in XXXX XXXX. I had a max balance of {$300.00} and slightly went over. After complaining to capitol one directly about the extraordinary extra charges that they were putting on my account and would not work with m
4. label=Credit reporting, dist=0.893, text=I have paid my intouch account credit card balance of XXXX {$.00} however the credit report XXXX still shows as balance XXXX {$.00} request to help me in clearing this from the reports as it impacts my credit score even though I paid my balance
5. label=Credit card, dist=0.911, text=When paying off my final payment after closing my account with Capitol One, the customer service rep asked if I wanted to round up to the next whole dollar amount."
Fine-tuned DistilBERT,839,Credit reporting,Debt collection,0.958217442035675,False,0.0,"First off, thank you so much for helping me. My Cell is XXXX I have a pre-trial appointment XXXX/XXXX/2015 @ XXXX XXXX XXXX XXXX XXXX XXXX. I would have gladly settled or paid this debt if it were mine..i swear on my life. The original creditor XXXX XXXX ( i currently have XXXX credit card from them in excellent standing ) & i had never done business until 24-36 months ago, when i first obtained a credit card from them. My legal name is on everything i own, owe on, etc. as XXXX XXXX XXXX. My closest friends call me XXXX, not XXXX & i never lived at the XXXX address this account was associated with. I am being threatened by this outfit & the lawyers of XXXX XXXX, XXXX XXXX XXXX XXXX. I have had to use pto days off & pay {$65.00} dollars to file, certified letters to attorneys, for a debt i do not owe. Sorry for complaining, i try to keep in mind my blessings each & every day, but how they are doing me is wrong. I will gladly pay whatever is mine, but this is not only not my debt, it was from 10 years ago. Thanks so much & please tell me what i should do next. 
-- XXXX","1. label=Credit reporting, dist=0.843, text=Other Debt : $ XXXX only owe XXXX {$9000.00} {$8900.00} ( - {$36.00} ) XXXXI only owe XXXX currently
2. label=Credit reporting, dist=0.845, text=my name is XXXX XXXX I have never lived on XXXX XXXX in ohio my ex husband married a girl that lived there her name is XXXX not me XXXX
3. label=Credit reporting, dist=0.864, text=My name is XXXX XXXX Not XXXX XXXX
4. label=Bank account or service, dist=0.881, text=I was a XXXX customer. I cancelled their service in XXXX. I have still to this day not received my final bill from them. 45 days after cancelling their service they automatically charged my debit card for XXXX without my permission. They say that it 
5. label=Credit card, dist=0.890, text=Debt on card was settled and paid as agreed over a month ago on XXXX XXXX, 2015. To date Chase has not reported my correct debt status of {$0.00} to the major credit reporting agencies and have not provided verification of payment in full as agreed. "
Fine-tuned DistilBERT,732,Credit reporting,Debt collection,0.9504799246788025,False,0.0,"I have a public record due to common law. This debt was created without knowledge, but was paid in full to clear my credit.","1. label=Credit reporting, dist=0.684, text=bankruptcy public record and some information that is not belong to me
2. label=Credit reporting, dist=0.801, text=There is a public record listed Release tax lien, this does not belong to me. I have disputed and will keep on disputing to remove this mistake. Please help
3. label=Credit reporting, dist=0.826, text=Equfax indicated that the public record investigation indicated the liens were released, but did not update the credit report. 

The liens were released in XXXX 2014
4. label=Credit reporting, dist=0.832, text=I had a federal tax lien of {$42000.00} filed on XXXX at the XXXX XXXX County County Recorder.The case # is XXXX.the lien was then paid in full and released on XXXX. I sent the IRS my request to have the lien withdrawn and received a form XXXX withdr
5. label=Credit reporting, dist=0.837, text=I have disputed the incorrect information two times using the processrequired by Equifax. They have not corrected the information and I havesupplied sufficient documentation for them to do so. Please have themupdate or remove this public record from "
Fine-tuned DistilBERT,882,Mortgage,Debt collection,0.948320209980011,False,0.0,"Although I received a letter from Green Tree ( see attached ) saying that all calls on this account have been stopped, I received a call at my work on XXXX/XXXX/15 at XXXX. This is unacceptable.","1. label=Mortgage, dist=0.801, text=I, XXXX XXXX XXXX, am a customer of Green Tree Servicing with account number XXXX. On XXXX XXXX, 2015, l summited the letter to request the Green Tree Servicing to initiate PMI automatic termination because of my outstanding payment history, currentl
2. label=Credit reporting, dist=0.808, text=XXXX reported on my Transunion Credit Report on the following dates : XXXX/XXXX/15, XXXX/XXXX/15 and XXXX/XXXX/15. I did not inquire any information regarding this company. These are XXXX hard inquiries.
3. label=Mortgage, dist=0.808, text=I have a loan with Green Tree My payment is XXXX of that PMI is XXXX and the balance is XXXX and intrest {$290.00} of it goes to Escrow for Tax and INS I called and asked why they did n't pay property Tax and they said the loan was n't set up to do t
4. label=Mortgage, dist=0.820, text=My mortgage is currently owned by Green Tree LLC. Today ( XXXX XXXX ) I received a statement notifying me of an increase in my monthly payment to cover hazard insurance because they claim I do not have insurance coverage on the property. That is not 
5. label=Mortgage, dist=0.822, text=I was denied fair access to credit. I applied to refinance my mortgage. I was attempting to finance my home at a lower interest rate. Green Tree declined my application. The reason for the declination a was 1 ) unable to verify employment and 2 ) ins"
Fine-tuned DistilBERT,264,Bank account or service,Credit card,0.9250972270965576,False,0.0,"Thank you for submitting an Online Consumer Complaint. A representative from the Consumer Services Office may contact youto follow up. 

Here is a copy of the information you provided. Please save for your records. 

Please do not reply to this email. 



Name : XXXX XXXXAddress : XXXX, PA XXXXHome Phone : Day Phone : XXXX Ext : Email Address : XXXXXXXXXXXX Name : wells fargoAccount/Loan # : XXXXInstitution Address:XXXX XXXX XXXX XXXX. 
XXXX, pa. XXXXReason for Contact : On XXXX XXXX 2015 th I authorized my credit card ( XXXX XXXX ) to debit my account on XXXX XXXX XXXX for XXXX. on sat XXXX XXXX 2015 my credit card credited my card with the XXXX payment as if it was received. on monday XXXX XXXX XXXX 2015 wells fargo removed the XXXX from my account. later that day. i overdrew my account. using overdraft protection. yet they ( wells fargo ) still charged me XXXX XXXX overdraft fees. i politely asked them to be fair and human and just charge me XXXX. however the refused. I know its inhumane however im uncertain whether they violated any laws. also when i contacted them a representative tried to tell me my credit card company credited my account but they didnt actually take the funds until later. any event the funds were removed. prior to me overdrawing. 

Signature : XXXXDate : XXXX/XXXX/2015Name of Attached File:","1. label=Bank account or service, dist=0.830, text=I deposit appoximately XXXX in order to cover all my bill payments. The bank name Wells Fargo has charged me overdraft fees for no particular reason, I was told anytime, when you deposit funds in your account when your balance is in the negative, and
2. label=Bank account or service, dist=0.851, text=I currently bank with Wells Fargo and have several accounts open with them. Recently checked my account online and seen they charged me XXXX overdraft fees of {$35.00} each. Now given that I have overdraft protection on my accounts, they did not waiv
3. label=Bank account or service, dist=0.860, text=To Whom it may concern, my name is XXXX XXXX, my mailing address is XXXX XXXX XXXX XXXX XXXX. My phone number is XXXX and the email address is XXXXXXXXXXXX. This complaint is against Wells Fargo, my active checking, account number is XXXX and an inac
4. label=Bank account or service, dist=0.862, text=When I opened my accounts at Wells Fargo, I was asked if I wanted overdraft protection. I declined the protection and specifically indicated that I would rather the transactions be declined, if indeed the funds are n't available in my account. In the
5. label=Mortgage, dist=0.870, text=I have mortgage with wells Fargo with account # XXXX. My first payment {$3200.00} was due on XXXX/XXXX/2015, while I paid the full payment on XXXX. However Wells Fargo repeated charge to my Wells Fargo checking account for XXXX payment due to a sched"
Fine-tuned DistilBERT,421,Credit reporting,Credit card,0.9205288290977478,False,0.0,"Someone opened a credit card in my name at XXXX XXXX. We have contacted the creditor, but need to pursue whatever is necessary to have this removed from my credit","1. label=Credit reporting, dist=0.868, text=My name is XXXX XXXX Not XXXX XXXX
2. label=Credit reporting, dist=0.870, text=We. File. Bankruptcy. In. 2011. All. Been. Cleared. XXXX. It 's, from. Equifax. A. Credit. Card. For. XXXX
3. label=Debt collection, dist=0.871, text=Year 1996 American Express sent letters, phoned me and clamed I was XXXX XXXX XXXX I am XXXX XXXX XXXX To this date I have the bill show up on my credit report. I get it removed and again it is on my credit report.
4. label=Credit reporting, dist=0.872, text=I was checking my credit report and I saw a credit card from XXXX XXXX was opened in XXXX XXXX and I was n't in this country! I got to this country in XXXX XXXX XXXX and the credit report says that I have a balance of {$1200.00} and I have no idea ab
5. label=Credit reporting, dist=0.873, text=There is a XXXX charge account on my credit file that is not mine. I have never shopped or even been inside a XXXX store. I have never opened or used a XXXX account. I have never even heard of them until this appeared on my credit. For a very long ti"
Fine-tuned DistilBERT,460,Credit card,Debt collection,0.9129796028137207,False,0.0,I bought a phone on XXXX for XXXX and when I received the item it had defects on it. So I complained and finally they sent me return shipping information. Then returned the product to the seller. Now after 3 months the seller is saying he never received the item and now a dispute got filed from his side. So i had to pay the XXXX and return the item. Basically I got XXXX and burned it ...,"1. label=Credit card, dist=0.863, text=I am writing to file a complaint against Bank of America Credit card for refusing to reverse the charges I incurred for purchase of a defective item I made on XXXX for the amount of {$320.00} from an E-bay seller "" penandbeyound '' ( see attachment p
2. label=Bank account or service, dist=0.874, text=Explanation of complaint against PAYPAL Account : ( XXXXXXXXXXXX ) PAYPAL re-charge of {$380.00} on XX/XX/XXXX to my XXXX XXXX XXXX Credit cardXXXX XXXX XXXX Account Number : ***************** ( mastercard ) I am filing this complaint against PAYPAL 
3. label=Credit card, dist=0.882, text=I used my credit card ( Barclay Card ) to paid XXXX to buy Spirit XXXX and also I was paid extra XXXX for shipping insurance for cover any damage to my shipping. 
After I received shipping XXXX of XXXX bottle was damage I was dispute to my credit to 
4. label=Credit card, dist=0.883, text=I am writing to file a complaint against Bank of America Credit card for refusing to reverse the charges I incurred for purchase of items I made on XXXX.XXXX.15 for the amount of {$73.00} from XXXX ( see attachment BofA statement ). I had already sen
5. label=Credit reporting, dist=0.886, text=I have dispute an item with Transunion. That item is XXXX, XXXX XXXX XXXX. Each time they send me the results, they say this item is verified. However, they do not attach any proof of the verification to my results or credit report. In addition, they"
Fine-tuned DistilBERT,199,Credit card,Credit reporting,0.9106876254081726,False,0.0,This company XXXX I have had for close to 3 years. I was able to see my report when I pulled my credit on XXXX. Sometime in XX/XX/XXXX this credit card company reported the account as closed but it was not. I called the company and they refused to fix the issue. This falls report on my account cost me XXXX points.,"1. label=Credit card, dist=0.814, text=Pulled credit report without permission.
2. label=Credit card, dist=0.819, text=Going over my credit report and I found an account still being reported. The account has been paid off and closed since XXXX 2006.
3. label=Credit card, dist=0.829, text=I applied for a TD Bank XXXX XXXX XXXX XXXX XX/XX/XXXX. My credit report has been pulled 6 times from XX/XX/XXXX to XX/XX/XXXX by TD Bank and they keep giving me the same denial. Each time I call, I get sent back to XXXX which I have done already. I 
4. label=Credit card, dist=0.835, text=THERE WAS A FRAUDULENT PURCHASE MADE ON MY MACY 'S STORE CARD XX/XX/2015. CALLED COMPANY, INVESTIGATION WAS MADE AND THE FEES WERE SUPPOSED TO BE REMOVED, TOTALING A BALANCE OF {$0.00}. I REQUESTED CLOSURE OF THE ACCOUNT IN XXXX 2015. 

MY FIRST PHON
5. label=Debt collection, dist=0.843, text=They have reported on my credit report XXXX accounts that are still open and not showing paid. One for XXXX XXXX XXXX and the other for XXXX XXXX Bank. XXXX have been paid, XXXX XXXX in XX/XX/XXXX and XXXX XXXX in XX/XX/XXXX."
Fine-tuned DistilBERT,797,Credit reporting,Credit card,0.8892028331756592,False,0.0,"I have a civil action that 's incorrect been removed, a credit card that was not known to me, the collect promised proof send a person who sign card for a plumber? iam not in or everbeen. iave been XXXX with XXXX since 2004 ... to add, I was rong illed and XXXX was paid, yet claimed a bill, contacted they appoligized and we found this bill, that never exsisted ... XXXX ... we closed yearsago our service, returned equipment, as told using track XXXX.. they provided packing and label.. they sent a bill, it was never adjusted and continues, well over statue of limitation to bounce from collectors, with bill that does n't exsist ... never adjusted .. the XXXX cell phone bill ... was disputed to them.,. as the phone was sold broke ... the company that supported it via XXXX, was defuncted and took new capital investors to maked good, but only ater lost of service.. we bought ddition protection thru nh mall XXXX store ... this too.. failed ... we awaited a phone and bill, promised, we received a bill instead will I was in XXXX XXXX in XXXX XXXX XXXX for XXXX knew and promised corrective action ... we got bill saying it was pas due on exac same day to our po box a collector letter calling ... them. they told us to pay then dispute it usually takes months, the admitted at XXXX the notes reflected the matter they dropped ball it feel thru cracks ..., he bill reflects the XXXX charge ..., of 2 year commitment ... and charges ... but now they collector has it, they cant correct it ... the collector confirmed the dispute saying they could n't repair it ... only XXXX could .... so we were again pay it..they we need to reapply as if fresh ... this would affect and be negative blemish, likely result in denial ... so we awaited XXXX ... on follow up ... and were left unanswered.. frustrated ... with promised ... we found this and are absolutely appauled angry ... .we are trying to buy house with VA loan and these are creating XXXX issue ... we already due to XXXX from Service caused us hardship, and suffered financial worst, trying to rebuild ... we do n't mind accountability to our fault ... but these are wrong erroneous and require correction and removal thankyou XXXX XXXX","1. label=Credit reporting, dist=0.888, text=I would like to file a complaint against XXXX, without researching they made no attempt to investigate the issue with XXXX. My balance for account # XXXX should be XXXX. I returned the equipment on XXXX/XXXX/15 and they never issued a credit for it, 
2. label=Debt collection, dist=0.893, text=XXXX equipment was returned prior to my being contacted by collector. Collector was informed that I had received a confirmation of equipment having been returned, whereupon he hung up on me. Meanwhile satellite provider began to bill me for service t
3. label=Debt collection, dist=0.901, text=XXXX on behalf of XXXX XXXX has been calling my home and employment using several phone numbers as follows ; XXXX XXXX as HFS. I have proof that debt was paid for and my XXXX paid the rest. They have ruined my credit and harrass me all day.I have hea
4. label=Debt collection, dist=0.905, text=Someone by the name of XXXX XXXX calls and left a message for an XXXX XXXX on my cell phone saying she ca n't give anymore information and this is her last attempt. She needs to call her back by the end of the day.
5. label=Debt collection, dist=0.909, text=I originally signed up for XXXX service on XXXX/XXXX/2015. The service never worked properly and I cancelled my service and returned all the equipment ( I have a receipt for the return of the equipment ) before XXXX XXXX, 2015. Their service never wo"
