support_bin,n,accuracy,mean_confidence,model
"(-0.001, 0.167]",38,0.39473684210526316,0.5151095692721069,TF-IDF + LR
"(0.167, 0.333]",60,0.5666666666666667,0.5540289923231989,TF-IDF + LR
"(0.333, 0.5]",123,0.6910569105691057,0.6496861000358057,TF-IDF + LR
"(0.5, 0.667]",184,0.8695652173913043,0.7249142739821969,TF-IDF + LR
"(0.667, 0.833]",217,0.9262672811059908,0.8068731034667748,TF-IDF + LR
"(0.833, 1.0]",278,0.9640287769784173,0.8756741133531168,TF-IDF + LR
"(-0.001, 0.167]",110,0.17272727272727273,0.8231780693333052,Frozen DistilBERT + LR
"(0.167, 0.333]",97,0.23711340206185566,0.8688013824480832,Frozen DistilBERT + LR
"(0.333, 0.5]",113,0.6283185840707964,0.9219148336811424,Frozen DistilBERT + LR
"(0.5, 0.667]",151,0.8543046357615894,0.9540982608449424,Frozen DistilBERT + LR
"(0.667, 0.833]",180,0.9277777777777778,0.9641020199461461,Frozen DistilBERT + LR
"(0.833, 1.0]",249,0.9759036144578314,0.9718296656200563,Frozen DistilBERT + LR
"(-0.001, 0.167]",57,0.3508771929824561,0.7320272828403273,Fine-tuned DistilBERT
"(0.167, 0.333]",70,0.5285714285714286,0.7677354489053999,Fine-tuned DistilBERT
"(0.333, 0.5]",115,0.7739130434782608,0.8638170864271081,Fine-tuned DistilBERT
"(0.5, 0.667]",178,0.8932584269662921,0.8944172135899576,Fine-tuned DistilBERT
"(0.667, 0.833]",210,0.9428571428571428,0.9390587857791356,Fine-tuned DistilBERT
"(0.833, 1.0]",270,0.9740740740740741,0.9400418117090508,Fine-tuned DistilBERT
